paper,category,subcategory,difficulty,difficulty_rationale,secondary_categories,original_snippet,modified_snippet,description
1,statistical_errors,test_parameter_error,2,CI width vs SE check requires computation,,"than RWA (B = -.02, SD = .01, p = .001, 95% CI [-.03, -.01])","than RWA (B = -.02, SD = .01, p = .001, 95% CI [-.05, -.01])","Widened RWA confidence interval lower bound from -.03 to -.05, making RWA effect appear to overlap more with SDO — undermines core claim of differential prediction"
1,methodological_design,measurement_invariance_removed,3,Must know measurement invariance is prerequisite for longitudinal SEM,,"We started by constraining the factor loadings of our latent variables to equality so that, for each factor, the individual items that make up the factor were set to be equal across time points. For example, item 1 in the SDO scale was set to equality across all five time points, as was item 2, and ...","We started by constraining the cross-lagged associations between the constructs to be the same in each measurement point. We also constrained to equality the residual variance for the same item over time, so item 1 in the SDO scale had equal residual variance across all time points.","Removed metric and scalar invariance testing (equal factor loadings and intercepts) — without these, latent constructs could mean different things at different time points, making cross-lagged comparisons meaningless"
1,construct_validity,measure_construct_mismatch,2,Discussion interprets 'willingness to sacrifice' but DV now measures concern — mismatch visible across sections,,"Environmentalism was measured as individual's willingness to make sacrifices for the environment. These items were modelled from Liu and Sibley's [28] two items on sacrifice intentions, ""Are you willing to change your daily routine in order to protect the environment?"" and ""Are you willing to make s...","Environmentalism was measured using items assessing participants' concern about environmental problems. These items were modelled from Liu and Sibley's [28] environmental concern scale, ""How concerned are you about the current state of the natural environment?"" and ""To what extent do you think envir...",Replaced behavioral intention DV (willingness to sacrifice) with attitude measure (environmental concern) — paper's theoretical contribution about ideology predicting behavioral willingness is now unsupported by the DV
1,causal_inference,autoregressive_paths_removed,3,Must know autoregressive paths are essential for CLPM causal inference,,"As shown in Figure 1, across all time points, the autoregressive path for willingness to sacrifice was strong (B = .83, SD = .01, p < .001, 95% CI [.82, .84]), indicating that an individuals’ level of willingness to make sacrifices for the environment is relatively stable over time. Consistent with ...","As shown in Figure 1, across all time points, SDO, RWA, and willingness to sacrifice were all relatively stable over time, consistent with our prediction that these variables remain largely unchanged over the study period.","Removed autoregressive path coefficients — these control for prior levels in CLPM, essential for interpreting cross-lagged paths as predicting change"
1,internal_consistency,model_results_contradiction,1,Non-significant chi-square test directly contradicts 'statistically stronger' conclusion in same sentence,,"We found that our original model provides significantly better fit to the data 2(1) = 50.98, p < .001, and thus conclude that SDO is a statistically stronger predictor of change in willingness to sacrifice for the environment than RWA in our sample.","We found that our original model provides comparable fit to the data 2(1) = 2.34, p = .126, but based on the pattern of unstandardized coefficients we interpret SDO as a stronger predictor of change in willingness to sacrifice for the environment than RWA in our sample.","Changed chi-square from significant (50.98, p<.001) to non-significant (2.34, p=.126) — formal test now says SDO and RWA effects are NOT different, but text still claims SDO is stronger"
1,reporting_completeness,model_specification_removed,2,"Missing latent variable spec, cross-lagged structure, and missing data method — experienced SEM user would notice",,"We used cross-lagged path analysis to infer causal associations between SDO, RWA and willingness to sacrifice for the environment. The model thus included three latent variables across five measurement points, where each variable within a time point was set to predict each variable in the subsequent...","We used path analysis to examine associations between SDO, RWA and willingness to sacrifice for the environment. The model included three variables across five measurement points and was conducted in Mplus (version 7.3 [29]). A copy of the Mplus syntax used will be available on the NZAVS website upo...","Removed: latent variable specification, cross-lagged structure, FIML for missing data — reader cannot evaluate measurement model, model type, or missing data handling"
1,generalizability,sample_description_changed,2,Student sample contradicts paper's own discussion about sample-type moderation,,"We used data from the New Zealand Attitudes and Values Study [26], a nationally representative, longitudinal study of personality, social attitudes, and health outcomes. This study uses data from individuals who participated in the first five years of the project (from 2009 to 2013). Of the 22,974 p...","We recruited participants through the introductory psychology participant pool at Victoria University of Wellington. This study uses data from individuals who participated across five semesters of the project (from 2009 to 2013). Of the 374 participants included in this study, the average age was 19...",Changed nationally representative sample (N=22974) to convenience student sample (N=374) — paper's own discussion explains SDO-environment link is weaker in student samples
1,theoretical_conceptual,theoretical_framework_misattributed,2,SDT vs Duckitt's dual-process model — must know these are different frameworks,,"Duckitt’s [3] dual-process model proposes that SDO and RWA are separate but interrelated, and together predict attitudes towards different social groups.","Sidanius and Pratto’s [1] social dominance theory proposes that SDO and RWA are separate but interrelated, and together predict attitudes towards different social groups.",Replaced Duckitt's dual-process model (explains BOTH SDO and RWA via different worldviews) with SDT (focuses on SDO/hierarchy only) — SDT alone doesn't predict RWA effects
1,analytic_flexibility,analysis_specification_changed,1,Claims standardized parameters but reports single time-invariant values — contradicts how standardized estimates work,,"We present unstandardized parameters, which are invariant over time due to the constraints placed on the model. The standardized estimates, which do vary across time points, are included in the Supplementary Materials (Table S1). Because of the large sample size of this dataset, we adopted a conserv...","We present standardized parameters, which vary across time points due to differences in observed variances. Because of the large sample size of this dataset, we adopted a significance threshold of p < .05 to indicate significance of findings.",Switched from unstandardized (time-invariant) to standardized (time-varying) parameters — creates inconsistency with single reported coefficients; relaxed alpha from .01 to .05 removing large-N safeguard
1,attrition_missing_data,missing_data_handling_changed,2,Listwise deletion in 5-wave panel — methodologically inappropriate but requires knowing FIML is standard,,Missing data were imputed using FIML.,Analyses were conducted using listwise deletion.,"Changed FIML to listwise deletion — in 5-wave panel study, listwise deletion would dramatically reduce N and produce biased estimates if dropout is non-random"
